id;nome;significado;origem;motivo_escolha;pesquisas
184;Alaor;Filho d e Abderram ã;Árabe;Extraído de Livro dos Nomes;0
185;Alarice;Alhric, que governa todas as cois as, todo-p oderoso;Teutônico;Extraído de Livro dos Nomes;0
186;Alarico;Alhric, todo p oderos o, que governa tudo;Teutônico;Extraído de Livro dos Nomes;0
187;Alba;Alva,  muito bra nca;Latim;Extraído de Livro dos Nomes;0
188;Albach;Ri acho das e nguias;Germânico;Extraído de Livro dos Nomes;0
189;Albano;Nascid o na cida de de Alba, Itália. Variação masculina de Albino;Latim;Extraído de Livro dos Nomes;0
190;Albarino;Reboc ador;Latim;Extraído de Livro dos Nomes;0
191;Albérico;Rei dos m ontes;Teutônico;Extraído de Livro dos Nomes;0
192;Alberto;Aethe lbert,  nobre e bri lhante ou i lustre. O me smo que;Teutônico;Extraído de Livro dos Nomes;0
193;Albino;Albinus, que vem de Albus, alvo, branco;Latim;Extraído de Livro dos Nomes;0
194;Albion;Alvo. Nome pelo qual também se co nhece a Ingl aterra;Latim;Extraído de Livro dos Nomes;0
195;Alboino;Alf + win (elfo + am igo), amigo de Elfos, os espíritos do;Germânico;Extraído de Livro dos Nomes;0
196;Albornoz;Origi nário d a tribo berber e. Usado co mo sobr enome;Português;Extraído de Livro dos Nomes;0
197;Albuquerque;Alba + quercus, carvalho branco;Latim;Extraído de Livro dos Nomes;0
198;Alcaçova;Do caste lo de Alcaçova  de L isboa;Português;Extraído de Livro dos Nomes;0
199;Alcântara;Al + kantara, po nte;Árabe;Extraído de Livro dos Nomes;0
200;Alcebíades;Alkibiades, violento e generos o;Grego;Extraído de Livro dos Nomes;0
201;Alceste;Alk, forte,  vigoroso. Figura m itológica ress uscitada por Quir on;Grego;Extraído de Livro dos Nomes;0
202;Alceu;Alkaios, forte;Grego;Extraído de Livro dos Nomes;0
203;Alcides;Variação de Alceu;Grego;Extraído de Livro dos Nomes;0
204;Alcídio;O me smo que Alcídes, Alceu;Grego;Extraído de Livro dos Nomes;0
205;Alcina;"Alkinoé, de me nte forte;  capaz de transform ar poeira em ouro";Grego;Extraído de Livro dos Nomes;0
206;Alcindo;Caráter forte.  Variação ma sculina d e Alcino, que vem de;Grego;Extraído de Livro dos Nomes;0
207;Alcione;Maçarico, ave marinha. Nome de um a estrela d a constelaçã o;Grego;Extraído de Livro dos Nomes;0
208;Alda;Eada, velha, sáb ia, rica;Teutônico;Extraído de Livro dos Nomes;0
209;Aldemiro;V ariação de Adelmiro;Germânico;Extraído de Livro dos Nomes;0
210;Alderico;Sen hor de nobr eza ou príncip e venerável por sua id ade;Germânico;Extraído de Livro dos Nomes;0
211;Aldevino;Amigo da no breza. Fem inino: Aldevina;Germânico;Extraído de Livro dos Nomes;0
212;Aldo;Ald, velho e sáb io;Teutônico;Extraído de Livro dos Nomes;0
213;Aldobrando;Espada velha;Germânico;Extraído de Livro dos Nomes;0
214;Aldonca;Doc e;Latim;Extraído de Livro dos Nomes;0
215;Aldonça;Guerr eira no bre, guerre ira velha;Germânico;Extraído de Livro dos Nomes;0
216;Aleardo;Estrange iro que te m força;Germânico;Extraído de Livro dos Nomes;0
217;Alécio;Calda de peixe,  salmoura;Latim;Extraído de Livro dos Nomes;0
218;Alecrim;No me de flor, usad o como sobren ome;Português;Extraído de Livro dos Nomes;0
219;Aleixo;Alexius, grego Aléxios,  que defend e e protege. V ariaç ão de;Latim;Extraído de Livro dos Nomes;0
220;Aleluia;Louva ao Sen hor;Hebraico;Extraído de Livro dos Nomes;0
221;Alencar;Templo dos Alanos. Derivado tam bém de Alenquer, vila;Germânico;Extraído de Livro dos Nomes;0
222;Alessandra;Que res iste aos homens. Adaptação ita liana do greg o para;Grego;Extraído de Livro dos Nomes;0
223;Alete;Alada, se melhante a um  passar inho;Latim;Extraído de Livro dos Nomes;0
224;Alexandre;Alexandros, defensor da es pécie h umana;Grego;Extraído de Livro dos Nomes;0
225;Alexandrino;Form a diminutiva de Alexandrin a;Grego;Extraído de Livro dos Nomes;0
226;Aléxis;Que se defend e. Variação de Alexandre;GregoeLatim;Extraído de Livro dos Nomes;0
227;Alfa;Primeira l etra do alfabeto gre go. Alfa e Ôm ega: o princípi o e o fim;Grego;Extraído de Livro dos Nomes;0
228;Alfena;Planta sem elhante ao ja smim, d e flores brancas;Grego;Extraído de Livro dos Nomes;0
229;Alfeu;Alphéios, branco, alvo;Grego;Extraído de Livro dos Nomes;0
230;Álfio;Derivado dos oscos. V ariaç ão de Alfeu;Italiano;Extraído de Livro dos Nomes;0
231;Alfonsina,Alfonsine;Fem inino de Alfonso;Alemão;Extraído de Livro dos Nomes;0
232;Alfonso;Adalfuns,  de espírito combativo , inclinado ao com bate;Teutônico;Extraído de Livro dos Nomes;0
233;Alfreda;Co nselh eira dos e lfos;Teutônico;Extraído de Livro dos Nomes;0
234;Alfredo;Aelfraed, bo m ou pe quen o duende conse lheiro. Ou de;Anglo-saxão;Extraído de Livro dos Nomes;0
235;Ali;Al ou el, sen hor, sublime, excelso;Árabe;Extraído de Livro dos Nomes;0
236;Alice;"Aleth ia, a verdade ira; grega q ue não con hece a me ntira. Elsi e,";Grego;Extraído de Livro dos Nomes;0
237;Alighieri;La nça velha ou lança estra geira. No me e so breno me d e;Germânico;Extraído de Livro dos Nomes;0
238;Alilat;O deus Ura no;Árabe;Extraído de Livro dos Nomes;0
239;Alina;Agulha;Latim;Extraído de Livro dos Nomes;0
240;Aline;De linhage m no bre, gracios a, atrae nte. Variação francesa Adeline,;Celta;Extraído de Livro dos Nomes;0
241;Alípio;Alegre;Grego;Extraído de Livro dos Nomes;0
242;Alírio;Natur a alemão d a Ilíria. Santo da Igre ja Catól ica;Latim;Extraído de Livro dos Nomes;0
243;Alison;De sa grada fam a;Germânico;Extraído de Livro dos Nomes;0
244;Allende;Além, do lad o de lá, além da po nte;Espanhol;Extraído de Livro dos Nomes;0
245;Alma;Bon dosa, clemente. Substânc ia espir itual qu e governa o cor po;Latim;Extraído de Livro dos Nomes;0
246;Almada;A mina (d e ouro ou prata);Grego;Extraído de Livro dos Nomes;0
247;Almeida;Al + ma ida, campo plano, chão pla no, mesa. Sobr enome;Árabe;Extraído de Livro dos Nomes;0
248;Alméria;Princes a. Ou proce dentes da província espa nhola de Alméria;Árabe;Extraído de Livro dos Nomes;0
249;Almerinda;Procede nte da cidade de Alméria;Espanhol;Extraído de Livro dos Nomes;0
250;Almerindo;V ariaç ão de Almério;Teutônico;Extraído de Livro dos Nomes;0
251;Almério;Prínci pe rico e traba lhador;Teutônico;Extraído de Livro dos Nomes;0
252;Almir;Ilustrado p or nobreza;Teutônico;Extraído de Livro dos Nomes;0
253;Almirante;Alcunha pri mitiva usad a como nome e sobre nome;Português;Extraído de Livro dos Nomes;0
254;Almiro;O  prínci pe, celta, delicadeza;Árabe;Extraído de Livro dos Nomes;0
255;Alódia;Herdeira;Teutônico;Extraído de Livro dos Nomes;0
256;Aloísio;Inteir amente prud ente, esperto. Variação d e Luís;Latim;Extraído de Livro dos Nomes;0
257;Alpino;Albinus e Albus, alvo, branco;Latim;Extraído de Livro dos Nomes;0
258;Al-samir;O  amigo enca ntador;Árabe;Extraído de Livro dos Nomes;0
259;Altair;"A estrela qu e voa; da constelaç ão da águ ia";Árabe;Extraído de Livro dos Nomes;0
260;Altamir;Velho, esperto, brilhante;Germânico;Extraído de Livro dos Nomes;0
261;Altamiro;Altmir, velho esperto ou bri lhante. Ou do topônimo;Germânico;Extraído de Livro dos Nomes;0
262;Altéia;Althaía, que cur a, sara;Grego;Extraído de Livro dos Nomes;0
263;Altino;De estatura fora do com um;Latim;Extraído de Livro dos Nomes;0
264;Aluísio;Aloysius, que vem de Lu dwig (Luiz) em  alemão, daí o no me;Latim;Extraído de Livro dos Nomes;0
265;Alvarado;Conse lho dos e lfos, também der ivado d e Álvaro ou de;Germânico;Extraído de Livro dos Nomes;0
266;Alvarenga;Nascid o em Alvarenga;Português;Extraído de Livro dos Nomes;0
267;Álvaro;All + Wars, muito atento;Teutônico;Extraído de Livro dos Nomes;0
268;Alvim;Der ivado d e Albini (vila);Português;Extraído de Livro dos Nomes;0
269;Alvina;Adal + win, nobre amigo;Germânico;Extraído de Livro dos Nomes;0
270;Alvino;No bre am igo;Germânico;Extraído de Livro dos Nomes;0
271;Alzira;Orna mento e beleza;Teutônico;Extraído de Livro dos Nomes;0
272;Amã;Grande;Persa;Extraído de Livro dos Nomes;0
273;Amábile;Amabile, amável;Italiano;Extraído de Livro dos Nomes;0
274;Amada;Aimés, am ada. Significaç ão litera l;Francês;Extraído de Livro dos Nomes;0
275;Amadeu;Ama a Deus;Latim;Extraído de Livro dos Nomes;0
276;Amado;Amado, querido;Latim;Extraído de Livro dos Nomes;0
277;Amador;Aquele que am a;Latim;Extraído de Livro dos Nomes;0
278;Amalberga;Que pr otege os trabal hos da guerr a;Germânico;Extraído de Livro dos Nomes;0
279;Amália;Amala, aquela que é traba lhadora e ativa;Gótico;Extraído de Livro dos Nomes;0
280;Amaltrudes;Ativa e querida;Latim;Extraído de Livro dos Nomes;0
281;Amana;Chuva, nuvem;Tupi;Extraído de Livro dos Nomes;0
282;Amanacy;Mãe da chuva,  páss aro que an uncia a ch uva;Tupi;Extraído de Livro dos Nomes;0
283;Amanara;Dia chuvoso;Tupi;Extraído de Livro dos Nomes;0
284;Amanayara;O manda chuva,  o sen hor da chuva;Tupi;Extraído de Livro dos Nomes;0
285;Amâncio;Aquele qu e ama, a mante;Latim;Extraído de Livro dos Nomes;0
286;Amanda;Amanda, dig na de ser am ada;Latim;Extraído de Livro dos Nomes;0
287;Amandino;Aquele qu e deve ser am ado;Latim;Extraído de Livro dos Nomes;0
288;Amândio;Aquele que deve ser a mado;Latim;Extraído de Livro dos Nomes;0
289;Amando;Que é p ara amar, digno de ser a mado;Latim;Extraído de Livro dos Nomes;0
290;Amandy;Água da chuva;Tupi;Extraído de Livro dos Nomes;0
291;Amapola;Bela flor , papou la;Espanhol;Extraído de Livro dos Nomes;0
292;Amaral;Onde há a maros, espécie d e salva, planta a marga;Português;Extraído de Livro dos Nomes;0
293;Amarante;Que não des merece, nome do a maranto (flor dos;Latimougrego;Extraído de Livro dos Nomes;0
